plate_ID,Source Well,ASAP_batch_ID,Vol from stock nl
1530852-Y4-59,A05,ASAP-0008583-001,50
1530852-Y4-95,A05,ASAP-0012308-001,200
1530852-Y4-95,B05,ASAP-0012311-001,200
1530852-Y4-118,A05,ASAP-0013916-001,200
1530852-Y4-118,B05,ASAP-0013896-001,200
1530852-Y4-122,A05,ASAP-0014550-001,20
1530852-Y4-122,D05,ASAP-0014549-001,5
1530852-Y4-122,F05,ASAP-0014552-001,200
1530852-Y4-128,B05,ASAP-0014611-001,200
1530852-Y4-132,Q05,ASAP-0014696-001,20
1530852-Y4-137,AC05,ASAP-0014812-001,200
1530852-Y4-137,AD05,ASAP-0014815-001,200
1530852-Y4-137,AA06,ASAP-0014849-001,200
1530852-Y4-138,A05,ASAP-0012944-002,200
1530852-Y4-142,I05,ASAP-0014895-001,200
1530852-Y4-142,Y05,ASAP-0014873-001,200
1530852-Y4-147,A05,ASAP-0014929-001,200
1530852-Y4-147,X05,ASAP-0014994-001,200
1530852-Y4-147,B07,ASAP-0015074-001,200
1530852-Y4-152,F05,ASAP-0015100-001,200
1530852-Y4-152,H05,ASAP-0015104-001,200
1530852-Y4-152,L05,ASAP-0015117-001,200
1530852-Y4-152,B06,ASAP-0015160-001,200
1530852-Y4-152,D06,ASAP-0015164-001,200
1530852-Y4-154,A05,ASAP-0015082-001,200
1530852-Y4-158,AB05,ASAP-0015224-001,200
1530852-Y4-158,D05,ASAP-0015244-001,200
1530852-Y4-158,G05,ASAP-0015250-001,200
1530852-Y4-158,I05,ASAP-0015254-001,200
1530852-Y4-158,V05,ASAP-0015268-001,200
1530852-Y4-158,N06,ASAP-0015286-001,200
1530852-Y4-158,O06,ASAP-0015287-001,200
1530852-Y4-162,AE05,ASAP-0015308-001,200
1530852-Y4-162,AF05,ASAP-0015310-001,200
1530852-Y4-162,E05,ASAP-0015317-001,200
1530852-Y4-162,R05,ASAP-0015343-001,200
1530852-Y4-162,U05,ASAP-0015349-001,200
1530852-Y4-162,X05,ASAP-0015355-001,200
1530852-Y4-162,Y05,ASAP-0015358-001,200
1530852-Y4-162,E06,ASAP-0015367-001,100
1530852-Y4-162,I06,ASAP-0015371-001,200
1530852-Y4-162,J06,ASAP-0015372-001,200
1530852-Y4-162,K06,ASAP-0015373-001,200
1530852-Y4-166,AA05,ASAP-0015379-001,200
1530852-Y4-166,AF05,ASAP-0015396-001,200
1530852-Y4-166,G05,ASAP-0015407-001,200
1530852-Y4-166,K05,ASAP-0015413-001,200
1530852-Y4-166,L05,ASAP-0015414-001,200
1530852-Y4-166,N05,ASAP-0015416-001,200
1530852-Y4-166,S05,ASAP-0015421-001,200
